email,exp,compliance_all,compliance_per_day,n_image,n_links,afp_fact_check,snopes,verify_this,politi_fact,lead_stories_com,ap_fact_check,factcheckdotorg,correct_fct_submissions,compliers
001e711bb070699b6260384c232068af,control,4,4,1,3,0,0,0,0,0,0,0,0,0
a0324046862cbe5b998c38a1ce57f4d2,treatment,21,18,0,21,0,0,0,0,0,0,0,0,0
f118d25b1740c079057a958f7586ae93,treatment,2,2,0,2,0,0,0,0,0,0,0,0,0
dd0169c65ef0ce426ece760c0f289a78,treatment,12,11,11,1,0,0,10,0,0,0,0,0,0
13a043e41ca1b6594dc341578e53af57,control,12,11,11,1,0,0,0,0,0,0,0,0,0
a68239b992700de5572b9584954d01cf,treatment,19,19,0,19,0,0,0,0,0,0,0,0,0
13df396531a0a19c5fa17ea556b10a84,control,1,1,1,0,0,0,0,0,0,0,0,0,0
653a4fa3936f402b4cd532072a2a7c25,treatment,1,1,1,0,0,0,0,0,0,0,0,0,0
17233b52fb1416b09434999931237cb2,control,0,0,0,0,0,0,0,0,0,0,0,0,0
ec787674c0c3384009e39baed502d4d8,treatment,0,0,0,0,0,0,0,0,0,0,0,0,0
6e38113250e90c5b1e08ab25f30f16a7,treatment,0,0,0,0,0,0,0,0,0,0,0,0,0
